sty	Salmonella_enterica_subsp._enterica_serovar_Typhi_CT18
stt	Salmonella_enterica_subsp._enterica_serovar_Typhi_Ty2
sex	Salmonella_enterica_subsp._enterica_serovar_Typhi_P-stx-12
sent	Salmonella_enterica_subsp._enterica_serovar_Typhi_Ty21a
stm	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_LT2
seo	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_14028S
sev	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_D23580
sey	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_SL1344
sem	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_T000240
sej	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_UK-1
seb	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_ST4/74
sef	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_798
setu	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_U288
setc	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_var._5-_CFSAN001921
senr	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_DT2
send	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_DT104
seni	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_138736
seen	Salmonella_enterica_subsp._enterica_serovar_4,[5],12:i:-_str._08-1736
spt	Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_ATCC9150
sek	Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_AKU12601
spq	Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B
sei	Salmonella_enterica_subsp._enterica_serovar_Paratyphi_C
sec	Salmonella_enterica_subsp._enterica_serovar_Choleraesuis
seh	Salmonella_enterica_subsp._enterica_serovar_Heidelberg_SL476
shb	Salmonella_enterica_subsp._enterica_serovar_Heidelberg_B182
senh	Salmonella_enterica_subsp._enterica_serovar_Heidelberg_CFSAN002069
seeh	Salmonella_enterica_subsp._enterica_serovar_Heidelberg_41578
see	Salmonella_enterica_subsp._enterica_serovar_Newport_SL254
senn	Salmonella_enterica_subsp._enterica_serovar_Newport_USMARC-S3124.1
sew	Salmonella_enterica_subsp._enterica_serovar_Schwarzengrund
sea	Salmonella_enterica_subsp._enterica_serovar_Agona_SL483
sens	Salmonella_enterica_subsp._enterica_serovar_Agona_24249
sed	Salmonella_enterica_subsp._enterica_serovar_Dublin
